,release_date
0,1995-10-30
1,1995-12-15
2,1995-12-22
3,1995-12-22
4,1995-02-10
5,1995-12-15
6,1995-12-15
7,1995-12-22
8,1995-12-22
9,1995-11-16
10,1995-11-17
11,1995-12-22
12,1995-12-22
13,1995-12-22
14,1995-12-22
15,1995-11-22
16,1995-12-13
17,1995-12-09
18,1995-11-10
19,1995-11-21
20,1995-10-20
21,1995-10-27
22,1995-10-06
23,1995-10-27
24,1995-10-27
25,1995-12-15
26,1995-10-20
27,1995-09-27
28,1995-05-16
29,1995-04-30
30,1995-08-11
31,1995-12-29
32,1996-09-18
33,1995-07-18
34,1995-11-08
35,1995-12-29
36,1995-10-20
37,1995-11-17
38,1995-07-19
39,1995-12-15
40,1995-12-29
41,1995-10-06
42,1995-12-29
43,1995-08-18
44,1995-05-20
45,1995-10-06
46,1995-09-22
47,1995-06-14
48,1995-05-05
49,1995-07-19
50,1994-11-22
51,1995-09-13
52,1994-01-01
53,1995-09-29
54,1995-05-19
55,1997-07-08
56,1995-11-02
57,1994-09-22
58,1995-09-29
59,1995-07-14
60,1996-01-12
61,1995-12-29
62,1996-01-12
63,1996-01-12
64,1996-01-12
65,1996-01-12
66,1995-10-22
67,1995-02-08
68,1995-04-26
69,1996-01-19
70,1995-11-03
71,1995-10-06
72,1995-03-22
73,1996-01-26
74,1996-01-26
75,1995-09-08
76,1995-02-18
77,1995-11-15
78,1996-02-02
79,1995-01-01
80,1995-12-01
81,1995-09-12
82,1996-01-26
83,1995-11-22
84,1995-09-10
85,1996-02-02
86,1996-01-12
87,1996-02-01
88,1995-11-22
89,1995-09-14
90,1996-02-23
91,1995-10-26
92,1996-02-09
93,1996-02-09
94,1995-12-01
95,1995-05-31
96,1994-12-06
97,1995-12-27
98,1996-02-16
99,1996-02-21
100,1996-02-16
101,1996-02-23
102,1996-02-16
103,1995-05-28
104,1994-11-07
105,1996-02-16
106,1995-12-08
107,1995-05-20
108,1995-05-24
109,1976-02-07
110,1995-01-30
111,1996-02-23
112,1995-09-13
113,1995-01-31
114,1995-06-08
115,1995-01-20
116,1996-03-08
117,1995-09-29
118,1996-03-22
119,1992-12-06
120,1992-06-30
121,1994-07-14
122,1995-09-21
123,1996-03-22
124,1994-10-26
125,1994-09-30
126,1995-01-01
127,1996-02-09
128,1995-01-01
129,1995-11-22
130,1995-10-13
131,1995-08-16
132,1995-08-01
133,1996-03-01
134,1995-09-08
135,1995-09-15
136,1995-08-23
137,1995-08-01
138,1996-03-01
139,1996-03-08
140,1995-10-12
141,1995-08-09
142,1995-04-07
143,1995-08-25
144,1995-04-21
145,1995-07-21
146,1994-08-05
147,1995-06-30
148,1995-04-13
149,1995-01-10
150,1995-06-16
151,1967-05-24
152,1995-05-24
153,1995-09-15
154,1995-06-08
155,1995-05-26
156,1995-09-15
157,1995-06-09
158,1995-05-12
159,1994-09-10
160,1995-08-25
161,1995-09-15
162,1995-05-19
163,1995-10-27
164,1995-10-12
165,1995-07-07
166,1995-07-19
167,1995-09-14
168,1995-08-18
169,1995-05-26
170,1995-06-30
171,1995-04-12
172,1995-07-28
173,1995-01-20
174,1995-08-25
175,1993-05-20
176,1995-05-26
177,1995-10-20
178,1995-06-30
179,1995-09-29
180,1995-09-28
181,1994-09-13
182,1995-07-28
183,1995-07-12
184,1995-06-09
185,1995-09-01
186,1995-11-17
187,1995-06-23
188,1995-10-13
189,1995-08-25
190,1995-09-22
191,1995-06-09
192,1995-08-04
193,1995-07-07
194,1995-09-15
195,1995-10-13
196,1964-02-19
197,1995-09-08
198,1995-10-27
199,1995-11-02
200,1995-09-07
201,1995-07-13
202,1995-09-15
203,1995-08-11
204,1995-08-11
205,1995-07-28
206,1995-12-01
207,1995-12-01
208,1994-10-12
209,1995-08-04
210,1994-05-01
211,1994-06-09
212,1995-01-27
213,1995-02-10
214,1995-10-17
215,1995-02-03
216,1995-04-21
