,title,release_year,popularity
0,Toy Story,1995,21.946943
1,Jumanji,1995,17.015539
2,Grumpier Old Men,1995,11.7129
3,Waiting to Exhale,1995,3.859495
4,Father of the Bride Part II,1995,8.387519
5,Heat,1995,17.924927
6,Sabrina,1995,6.677277
7,Tom and Huck,1995,2.561161
8,Sudden Death,1995,5.23158
9,GoldenEye,1995,14.686036
10,The American President,1995,6.318445
11,Dracula: Dead and Loving It,1995,5.430331
12,Balto,1995,12.140733
13,Nixon,1995,5.092
14,Cutthroat Island,1995,7.284477
15,Casino,1995,10.137389
16,Sense and Sensibility,1995,10.673167
17,Four Rooms,1995,9.026586
18,Ace Ventura: When Nature Calls,1995,8.205448
19,Money Train,1995,7.337906
20,Get Shorty,1995,12.669608
21,Copycat,1995,10.701801
22,Assassins,1995,11.065939
23,Powder,1995,12.133094
24,Leaving Las Vegas,1995,10.332025
25,Othello,1995,1.845899
26,Now and Then,1995,8.681325
27,Persuasion,1995,2.228434
28,The City of Lost Children,1995,9.822423
29,Shanghai Triad,1995,1.100915
30,Dangerous Minds,1995,9.481338
31,Twelve Monkeys,1995,12.297305
32,Wings of Courage,1996,0.745542
33,Babe,1995,14.404764
34,Carrington,1995,1.493361
35,Dead Man Walking,1995,6.891317
36,Across the Sea of Time,1995,0.114469
37,It Takes Two,1995,7.777735
38,Clueless,1995,9.882383
39,"Cry, the Beloved Country",1995,0.894647
40,Richard III,1995,4.561387
41,Dead Presidents,1995,9.87957
42,Restoration,1995,10.979269
43,Mortal Kombat,1995,10.870138
44,To Die For,1995,10.448481
45,How To Make An American Quilt,1995,4.485958
46,Se7en,1995,18.45743
47,Pocahontas,1995,13.280069
48,When Night Is Falling,1995,3.302524
49,The Usual Suspects,1995,16.302466
50,Guardian Angel,1994,0.595949
51,Mighty Aphrodite,1995,15.899134
52,Lamerica,1994,1.361286
53,The Big Green,1995,5.982764
54,Georgia,1995,4.093443
55,Kids of the Round Table,1997,0.307075
56,Home for the Holidays,1995,8.416802
57,The Postman,1994,10.168437
58,The Confessional,1995,0.120789
59,The Indian in the Cupboard,1995,10.673296
60,Eye for an Eye,1996,4.733526
61,Mr. Holland's Opus,1995,7.137117
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,11.700115
63,Two If by Sea,1996,2.174487
64,Bio-Dome,1996,6.387469
65,Lawnmower Man 2: Beyond Cyberspace,1996,2.49535
66,Two Bits,1995,4.046208
67,French Twist,1995,2.518051
68,Friday,1995,14.56965
69,From Dusk Till Dawn,1996,15.339153
70,Fair Game,1995,5.912223
71,Kicking and Screaming,1995,3.367276
72,Les Miserables,1995,1.479446
73,Bed of Roses,1996,10.412194
74,Big Bully,1996,2.936443
75,Screamers,1995,12.758848
76,Nico Icon,1995,0.133893
77,The Crossing Guard,1995,5.756462
78,The Juror,1996,6.010579
79,The White Balloon,1995,1.196256
80,Things to Do in Denver When You're Dead,1995,4.486179
81,Antonia's Line,1995,2.030174
82,Once Upon a Time... When We Were Colored,1996,0.252287
83,Last Summer in the Hamptons,1995,0.531159
84,Angels and Insects,1995,2.15166
85,White Squall,1996,9.568604
86,Dunston Checks In,1996,4.814825
87,Black Sheep,1996,8.963037
88,Nick of Time,1995,6.848591
89,The Journey of August King,1995,0.411424
90,Mary Reilly,1996,12.866139
91,Vampire in Brooklyn,1995,9.071127
92,Beautiful Girls,1996,4.670562
93,Broken Arrow,1996,14.957626
94,A Midwinter's Tale,1995,0.513391
95,La Haine,1995,12.108196
96,Shopping,1994,2.657647
97,Heidi Fleiss: Hollywood Madam,1995,0.638211
98,City Hall,1996,4.807223
99,Bottle Rocket,1996,6.904831
100,Mr. Wrong,1996,3.329264
101,Unforgettable,1996,2.464425
102,Happy Gilmore,1996,9.592265
103,The Bridges of Madison County,1995,5.951077
104,Nobody Loves Me,1994,1.015068
105,Muppet Treasure Island,1996,6.902423
106,Catwalk,1995,0.976707
107,Headless Body in Topless Bar,1995,0.001346
108,Braveheart,1995,20.755149
109,Taxi Driver,1976,14.092713
110,Rumble in the Bronx,1995,12.314278
111,Before and After,1996,2.938293
112,Margaret's Museum,1995,0.372697
113,Happiness Is in the Field,1995,1.254885
114,Anne Frank Remembered,1995,0.243986
115,The Young Poisoner's Handbook,1995,6.178497
116,If Lucy Fell,1996,2.891918
117,Steal Big Steal Little,1995,1.522412
118,Race the Sun,1996,1.317878
119,The Boys of St. Vincent,1992,0.86539
120,Boomerang,1992,6.506983
121,Chungking Express,1994,6.778979
122,The Star Maker,1995,1.702639
123,Flirting with Disaster,1996,5.579088
124,The Neverending Story III: Escape from Fantasia,1994,6.252377
125,The Silences of the Palace,1994,0.406754
126,Jupiter's Wife,1995,0.001178
127,Pie in the Sky,1996,0.699066
128,Angela,1995,2.197439
129,Frankie Starlight,1995,0.637554
130,Jade,1995,11.418917
131,Nueba Yol,1995,0.291021
132,Sonic Outlaws,1995,0.001838
133,Down Periscope,1996,5.184977
134,From the Journals of Jean Seberg,1995,0.276401
135,Man of the Year,1995,0.540436
136,The Neon Bible,1995,0.370342
137,Target,1995,0.001205
138,Up Close & Personal,1996,3.402749
139,The Birdcage,1996,6.49968
140,Virgin Mary,1995,0.918504
141,The Brothers McMullen,1995,2.039196
142,Bad Boys,1995,9.262184
143,The Amazing Panda Adventure,1995,2.375865
