,title,vote_count,vote_average,release_year
0,Toy Story,5415.0,7.7,1995
1,Jumanji,2413.0,6.9,1995
2,Grumpier Old Men,92.0,6.5,1995
3,Waiting to Exhale,34.0,6.1,1995
4,Father of the Bride Part II,173.0,5.7,1995
5,Heat,1886.0,7.7,1995
6,Sabrina,141.0,6.2,1995
7,Tom and Huck,45.0,5.4,1995
8,Sudden Death,174.0,5.5,1995
9,GoldenEye,1194.0,6.6,1995
10,The American President,199.0,6.5,1995
11,Dracula: Dead and Loving It,210.0,5.7,1995
12,Balto,423.0,7.1,1995
13,Nixon,72.0,7.1,1995
14,Cutthroat Island,137.0,5.7,1995
15,Casino,1343.0,7.8,1995
16,Sense and Sensibility,364.0,7.2,1995
17,Four Rooms,539.0,6.5,1995
18,Ace Ventura: When Nature Calls,1128.0,6.1,1995
19,Money Train,224.0,5.4,1995
20,Get Shorty,305.0,6.4,1995
21,Copycat,199.0,6.5,1995
22,Assassins,394.0,6.0,1995
23,Powder,143.0,6.3,1995
24,Leaving Las Vegas,365.0,7.1,1995
25,Othello,33.0,7.0,1995
26,Now and Then,91.0,6.6,1995
27,Persuasion,36.0,7.4,1995
28,The City of Lost Children,308.0,7.6,1995
29,Shanghai Triad,17.0,6.5,1995
30,Dangerous Minds,249.0,6.4,1995
31,Twelve Monkeys,2470.0,7.4,1995
32,Wings of Courage,4.0,6.8,1996
33,Babe,756.0,6.0,1995
34,Carrington,16.0,6.4,1995
35,Dead Man Walking,350.0,7.3,1995
36,Across the Sea of Time,2.0,3.5,1995
37,It Takes Two,149.0,6.1,1995
38,Clueless,828.0,6.9,1995
39,"Cry, the Beloved Country",13.0,6.7,1995
40,Richard III,50.0,6.9,1995
41,Dead Presidents,80.0,6.6,1995
42,Restoration,30.0,6.3,1995
43,Mortal Kombat,452.0,5.4,1995
44,To Die For,177.0,6.7,1995
45,How To Make An American Quilt,38.0,6.5,1995
46,Se7en,5915.0,8.1,1995
47,Pocahontas,1509.0,6.7,1995
48,When Night Is Falling,10.0,5.9,1995
49,The Usual Suspects,3334.0,8.1,1995
50,Guardian Angel,3.0,6.3,1994
51,Mighty Aphrodite,145.0,6.7,1995
52,Lamerica,11.0,7.7,1994
53,The Big Green,41.0,5.2,1995
54,Georgia,15.0,6.1,1995
55,Kids of the Round Table,1.0,3.0,1997
56,Home for the Holidays,39.0,6.3,1995
57,The Postman,181.0,7.6,1994
58,The Confessional,2.0,6.5,1995
59,The Indian in the Cupboard,136.0,5.9,1995
60,Eye for an Eye,65.0,5.8,1996
61,Mr. Holland's Opus,115.0,6.9,1995
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2,1996
63,Two If by Sea,14.0,4.5,1996
64,Bio-Dome,110.0,4.4,1996
65,Lawnmower Man 2: Beyond Cyberspace,32.0,2.8,1996
66,Two Bits,11.0,5.4,1995
67,French Twist,43.0,6.0,1995
68,Friday,513.0,7.0,1995
69,From Dusk Till Dawn,1644.0,6.9,1996
70,Fair Game,54.0,4.1,1995
71,Kicking and Screaming,36.0,7.0,1995
72,Les Miserables,8.0,6.6,1995
73,Bed of Roses,27.0,5.1,1996
74,Big Bully,16.0,3.9,1996
75,Screamers,154.0,6.1,1995
76,Nico Icon,3.0,7.3,1995
77,The Crossing Guard,74.0,6.1,1995
78,The Juror,91.0,5.5,1996
79,The White Balloon,20.0,7.5,1995
80,Things to Do in Denver When You're Dead,87.0,6.7,1995
81,Antonia's Line,26.0,7.2,1995
82,Once Upon a Time... When We Were Colored,2.0,4.5,1996
83,Last Summer in the Hamptons,0.0,0.0,1995
84,Angels and Insects,17.0,6.3,1995
85,White Squall,86.0,6.3,1996
86,Dunston Checks In,59.0,5.1,1996
87,Black Sheep,124.0,6.0,1996
88,Nick of Time,190.0,6.1,1995
89,The Journey of August King,3.0,6.7,1995
90,Mary Reilly,77.0,5.7,1996
91,Vampire in Brooklyn,113.0,4.5,1995
92,Beautiful Girls,103.0,6.6,1996
93,Broken Arrow,459.0,5.7,1996
94,A Midwinter's Tale,6.0,7.5,1995
95,La Haine,695.0,7.9,1995
96,Shopping,13.0,5.6,1994
97,Heidi Fleiss: Hollywood Madam,4.0,6.8,1995
98,City Hall,67.0,6.0,1996
99,Bottle Rocket,285.0,6.8,1996
100,Mr. Wrong,16.0,3.3,1996
101,Unforgettable,22.0,5.3,1996
102,Happy Gilmore,767.0,6.5,1996
103,The Bridges of Madison County,397.0,7.3,1995
104,Nobody Loves Me,5.0,5.1,1994
105,Muppet Treasure Island,93.0,6.5,1996
106,Catwalk,2.0,7.0,1995
107,Headless Body in Topless Bar,0.0,0.0,1995
108,Braveheart,3404.0,7.7,1995
109,Taxi Driver,2632.0,8.1,1976
110,Rumble in the Bronx,245.0,6.5,1995
111,Before and After,37.0,5.8,1996
112,Margaret's Museum,2.0,7.5,1995
113,Happiness Is in the Field,23.0,7.0,1995
114,Anne Frank Remembered,4.0,7.3,1995
115,The Young Poisoner's Handbook,19.0,6.9,1995
116,If Lucy Fell,11.0,5.4,1996
117,Steal Big Steal Little,7.0,5.1,1995
118,Race the Sun,21.0,5.2,1996
119,The Boys of St. Vincent,7.0,7.0,1992
120,Boomerang,139.0,5.4,1992
121,Chungking Express,249.0,7.9,1994
122,The Star Maker,29.0,6.8,1995
123,Flirting with Disaster,66.0,6.3,1996
124,The Neverending Story III: Escape from Fantasia,105.0,4.4,1994
125,The Silences of the Palace,3.0,4.3,1994
126,Jupiter's Wife,0.0,0.0,1995
127,Pie in the Sky,2.0,7.0,1996
128,Angela,9.0,5.6,1995
129,Frankie Starlight,4.0,5.4,1995
130,Jade,45.0,5.1,1995
131,Nueba Yol,1.0,5.5,1995
132,Sonic Outlaws,0.0,0.0,1995
133,Down Periscope,110.0,5.6,1996
134,From the Journals of Jean Seberg,2.0,6.5,1995
135,Man of the Year,2.0,3.8,1995
136,The Neon Bible,5.0,7.2,1995
137,Target,0.0,0.0,1995
138,Up Close & Personal,51.0,5.9,1996
139,The Birdcage,303.0,6.7,1996
140,Virgin Mary,2.0,7.0,1995
141,The Brothers McMullen,23.0,6.3,1995
142,Bad Boys,1729.0,6.5,1995
143,The Amazing Panda Adventure,31.0,5.0,1995
144,The Basketball Diaries,472.0,7.2,1995
145,An Awfully Big Adventure,11.0,6.0,1995
146,Amateur,21.0,6.5,1994
147,Apollo 13,1637.0,7.3,1995
148,Rob Roy,151.0,6.5,1995
149,The Addiction,46.0,6.4,1995
150,Batman Forever,1529.0,5.2,1995
151,Belle de Jour,163.0,7.3,1967
152,Beyond Rangoon,21.0,6.4,1995
153,Blue in the Face,28.0,6.8,1995
154,Canadian Bacon,57.0,5.9,1995
155,Casper,1045.0,6.0,1995
156,Clockers,69.0,6.8,1995
157,Congo,214.0,5.0,1995
158,Crimson Tide,508.0,7.0,1995
159,Crumb,71.0,7.6,1994
160,Desperado,898.0,6.8,1995
161,Devil in a Blue Dress,88.0,6.3,1995
162,Die Hard: With a Vengeance,2094.0,6.9,1995
163,The Doom Generation,57.0,5.6,1995
164,Feast of July,0.0,0.0,1995
165,First Knight,319.0,5.9,1995
166,Free Willy 2 - The Adventure Home,130.0,5.5,1995
167,Hackers,406.0,6.2,1995
168,Jeffrey,19.0,6.5,1995
169,Johnny Mnemonic,380.0,5.5,1995
170,Judge Dredd,643.0,5.4,1995
171,Jury Duty,34.0,4.0,1995
172,Kids,280.0,6.8,1995
173,Living in Oblivion,64.0,7.2,1995
174,Lord of Illusions,87.0,5.9,1995
175,Love & Human Remains,7.0,7.0,1993
176,Mad Love,27.0,5.5,1995
177,Mallrats,400.0,6.8,1995
178,Mighty Morphin Power Rangers: The Movie,153.0,5.2,1995
179,Moonlight and Valentino,10.0,5.6,1995
180,Mute Witness,36.0,6.4,1995
181,Nadja,12.0,5.9,1994
182,The Net,359.0,5.6,1995
183,Nine Months,171.0,5.5,1995
184,Party Girl,14.0,5.8,1995
185,The Prophecy,139.0,6.4,1995
186,Reckless,1.0,10.0,1995
