,name_production_company,revenue
0,Pixar Animation Studios,373554033.0
1,"TriStar Pictures, Teitler Film, Interscope Communications",262797249.0
2,Lancaster Gate,0.0
3,Twentieth Century Fox Film Corporation,81452156.0
4,"Sandollar Productions, Touchstone Pictures",76578911.0
5,"Regency Enterprises, Forward Pass",187436818.0
6,"Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH",0.0
7,Walt Disney Pictures,0.0
8,"Universal Pictures, Imperial Entertainment, Signature Entertainment",64350171.0
9,"United Artists, Eon Productions",352194034.0
10,"Columbia Pictures, Castle Rock Entertainment",107879496.0
11,"Columbia Pictures, Castle Rock Entertainment, Enigma Pictures",0.0
12,"Universal Pictures, Amblin Entertainment, Amblimation",11348324.0
13,"Hollywood Pictures, Cinergi Pictures Entertainment",13681765.0
14,"Laurence Mark Productions, Carolco Pictures",10017322.0
15,"Universal Pictures, Légende Entreprises, Syalis DA",116112375.0
16,"Columbia Pictures Corporation, Mirage Enterprises",135000000.0
17,"Miramax Films, A Band Apart",4300000.0
18,"O Entertainment, Morgan Creek Productions",212385533.0
19,Columbia Pictures,35431113.0
20,Jersey Films,115101622.0
21,"Regency Enterprises, New Regency Pictures",0.0
22,"Silver Pictures, Dino De Laurentiis Company",30303072.0
23,"Caravan Pictures, Hollywood Pictures",0.0
24,"United Artists, Intial Productions",49800000.0
25,"Columbia Pictures, Castle Rock Entertainment",0.0
26,New Line Cinema,27400000.0
27,BBC Films,0.0
28,"Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Victoires Productions, Constellation, Lumière Pictures, Studio Image, Cofimage 4, Ossane, Phoenix Images",1738611.0
29,"Ministère des Affaires Étrangères, Alpha Films, La Sept Cinéma",0.0
30,"Hollywood Pictures, Via Rosa Productions",180000000.0
31,"Universal Pictures, Atlas Entertainment, Classico",168840000.0
32,Iwerks Entertainment,0.0
33,"Universal Pictures, Kennedy Miller Productions",254134910.0
34,"StudioCanal, Cinéa, Euston Films, Freeway Films, Polygram Filmed Entertainment, Orsans Productions",0.0
35,"Havoc, PolyGram Filmed Entertainment, Working Title Films",39363635.0
36,Sony New Technologies,0.0
37,"Dualstar Productions, Rysher Entertainment",0.0
38,Paramount Pictures,0.0
39,"Miramax, Distant Horizon, Alpine Pty Limited",676525.0
40,"British Screen, Mayfair Entertainment International",0.0
41,"Caravan Pictures, Underworld Entertainment, Hollywood Pictures",0.0
42,Miramax Films,0.0
43,"New Line Cinema, Threshold Entertainment",122195920.0
44,"The Rank Organisation, Columbia Pictures Corporation",21284514.0
45,"Universal Pictures, Amblin Entertainment",23574130.0
46,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",327311859.0
47,"Walt Disney Pictures, Walt Disney Feature Animation",346079773.0
48,Alliance Communications Corporation,0.0
49,"Blue Parrot Productions, Bad Hat Harry Productions",23341568.0
50,,0.0
51,"Miramax Films, Magnolia Pictures",6700000.0
52,,0.0
53,"Walt Disney Pictures, Caravan Pictures",0.0
54,"Miramax Films, CiBy 2000",0.0
55,"Telefilm Canada, Melenny Productions",0.0
56,"Paramount Pictures, Egg Pictures, PolyGram Filmed Entertainment",17519169.0
57,,0.0
58,,0.0
59,"Paramount Pictures, Columbia Pictures Corporation",0.0
60,Paramount Pictures,0.0
61,"Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",106269971.0
62,"Miramax Films, Island Pictures, Ivory Way Productions",0.0
63,Morgan Creek Productions,0.0
64,"3 Arts Entertainment, Weasel Productions",0.0
65,New Line Cinema,2409225.0
66,Miramax Films,0.0
67,"Renn Productions, Les Films Flam, TF1 Films Production",0.0
68,New Line Cinema,28215918.0
69,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",25836616.0
70,Silver Pictures,11534477.0
71,"Castleberg Productions, Sandollar Productions",718490.0
72,"Les Films 13, TF1",0.0
73,"New Line Cinema, Juno Pix",19030691.0
74,Morgan Creek Productions,2042530.0
75,"Allegro Films, Fries Film Group, Super Ecran, Triumph Films",5781885.0
76,"Ciak Filmproduktion, Bluehorse Films",0.0
77,Miramax Films,0.0
78,Columbia Pictures Corporation,0.0
79,Ferdos Films,0.0
80,Miramax Films,529766.0
81,"Bergen Film, Bard Entertainments, NPS Televisie",0.0
82,"BET Pictures, United Image Entertainme",0.0
83,,0.0
84,"Playhouse International Pictures, The Samuel Goldwyn Company",0.0
85,"Hollywood Pictures, Largo Entertainment, Scott Free Productions",10300000.0
86,Twentieth Century Fox Film Corporation,0.0
87,Paramount Pictures,32.0
88,Paramount Pictures,8175346.0
89,"Miramax Films, Addis Wechsler Pictures",0.0
90,"TriStar Pictures, NFH Productions",12379402.0
91,Paramount Pictures,19800000.0
92,"Miramax Films, Woods Entertainment",0.0
93,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",150270147.0
94,"Castle Rock Entertainment, Midwinter Films",0.0
95,"Egg Pictures, PolyGram Filmed Entertainment, Les Productions Lazennec, La Sept Cinéma, Studio Image, Cofinergie 6",0.0
96,Channel Four Films,0.0
97,"Cinemax Reel Life, InPictures, Lafayette Films",0.0
98,"Columbia Pictures, Castle Rock Entertainment",0.0
99,"Gracie Films, Columbia Pictures Corporation",560069.0
100,Touchstone Pictures,0.0
101,"Dino De Laurentiis Company, Spelling Films",0.0
102,"Universal Pictures, Robert Simonds Productions",41205099.0
103,"Amblin Entertainment, Malpaso Productions",182016617.0
104,,0.0
105,"Walt Disney Pictures, Jim Henson Productions",34327391.0
106,,0.0
107,,0.0
108,"Icon Entertainment International, The Ladd Company",210000000.0
109,Columbia Pictures Corporation,28262574.0
110,"New Line Cinema, Golden Harvest Company",32392047.0
111,"Caravan Pictures, Hollywood Pictures",0.0
112,"Téléfilm Canada, Skyline Films, Malofilm, British Screen Productions, imX Communications, Glace Bay Pictures, Ciné Télé Action, Nova Scotia Film Development Corporation, Ranfilm",0.0
113,"France 2 Cinéma, France 3 Cinéma, StudioCanal, Les Productions du Champ Poirier, Téléma Productions",0.0
114,,1.0
115,Bavaria Film and Television Fund,0.0
116,TriStar Pictures,0.0
117,Savoy Pictures,6278139.0
118,TriStar Pictures,0.0
119,,0.0
120,Paramount Pictures,70100000.0
121,"Jet Tone Production, The Criterion Collection",0.0
122,Cecchi Gori Group Tiger Cinematografica,0.0
123,Miramax Films,14702438.0
124,"Studio Babelsberg, Dieter Geissler Filmproduktion, Cinevox Filmproduktion GmbH, Miramax",0.0
125,"Canal Horizons, Mat Films, Cinétéléfilms",0.0
126,,0.0
127,,0.0
128,,0.0
129,"Fine Line Features, Channel Four Films, Bórd Scannán na hÉireann",0.0
130,Paramount Pictures,9851610.0
131,Cigua Films,0.0
132,,0.0
133,Twentieth Century Fox Film Corporation,0.0
134,Couch Potatoe Productions,0.0
135,,209935.0
136,"Channel Four Films, Academy, Mayfair Films, Iberoamerica Films",0.0
137,,0.0
138,"Cinergi Pictures Entertainment, Touchstone Pictures",0.0
139,United Artists,185260553.0
140,,0.0
141,Fox Searchlight Pictures,0.0
142,Columbia Pictures,141407024.0
143,,0.0
144,"New Line Cinema, Island Pictures",0.0
145,"Fine Line Features, BBC, British Screen Productions, Portman Productions",851545.0
146,"Channel Four Films, Zenith Entertainment, American Playhouse, La Sept Cinéma, True Fiction Pictures",0.0
147,"Imagine Entertainment, Universal Pictures",355237933.0
148,"United Artists, Talisman Productions",31596911.0
149,"October Films, Guild, Fastnet Films",0.0
150,Polygram Filmed Entertainment,336529144.0
151,"Paris Films Productions, Five Films, Robert et Raymond Hakim",0.0
152,"Columbia Pictures, Castle Rock Entertainment",0.0
153,"Miramax Films, InterAL",1275000.0
154,PolyGram Filmed Entertainment,178104.0
155,"Universal Pictures, Amblin Entertainment, The Harvey Entertainment Company",287928194.0
156,Universal Pictures,13071518.0
157,Paramount Pictures,152022101.0
158,Hollywood Pictures,157387195.0
159,Superior Pictures,3174695.0
160,"Columbia Pictures, Los Hooligans Productions",25405445.0
161,"TriStar Pictures, Mundy Lane Entertainment",16140822.0
162,"Twentieth Century Fox Film Corporation, Cinergi Pictures Entertainment",366101666.0
163,"Why Not Productions, Desperate Pictures, Blurco, The Teen Angst Movie Company",0.0
164,"Touchstone Pictures, Merchant Ivory Productions",0.0
165,"Columbia Pictures Corporation, First Knight Productions",127600435.0
166,"Regency Enterprises, Alcor Films",0.0
167,"United Artists, Suftley",7563728.0
168,The Booking Office,0.0
169,"TriStar Pictures, Alliance Communications Corporation",19075720.0
170,"Hollywood Pictures, Cinergi Pictures Entertainment",113493481.0
171,TriStar Pictures,17014653.0
172,Miramax Films,7412216.0
173,"JDI productions, Lemon Sky Productions",1148752.0
174,"United Artists, Seraphim Films",0.0
175,"The Ontario Film Development Corporation, First Choice Films, Atlantis Films, Telefilm Canada, Max Films Productions, Super Écran",0.0
176,Touchstone Pictures,15453274.0
177,"Universal Pictures, Gramercy Pictures, Alphaville Films, View Askew Productions",2122561.0
178,"Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company",66000000.0
179,"PolyGram Filmed Entertainment, Working Title Films",0.0
180,"Comet Film Produktion GmbH, Avrora Media, Cobblestone Pictures",1.0
181,Kino Link Company,0.0
182,Columbia Pictures,110627965.0
183,"Twentieth Century Fox Film Corporation, 1492 Pictures",69660733.0
184,Party Productions,472370.0
185,Dimension Films,16.0
186,"Playhouse International Pictures, American Playhouse",0.0
187,"Killer Films, American Playhouse, Kardana Films, Chemical Films",0.0
188,"Hollywood Pictures, Cinergi Pictures Entertainment",10382407.0
189,,0.0
190,"United Artists, Carolco Pictures",20350754.0
191,Miramax Films,8349430.0
