,language
0,English
1,"English, Français"
2,English
3,English
4,English
5,"English, Español"
6,"Français, English"
7,"English, Deutsch"
8,English
9,"English, Pусский, Español"
10,English
11,"English, Deutsch"
12,English
13,English
14,"English, Latin"
15,English
16,English
17,English
18,English
19,English
20,English
21,"English, Deutsch"
22,"English, Español, Nederlands"
23,English
24,English
25,English
26,English
27,English
28,Français
29,普通话
30,English
31,"English, Français"
32,English
33,English
34,English
35,English
36,"Pусский, English"
37,English
38,"Español, English"
39,English
40,English
41,English
42,"English, Español"
43,English
44,English
45,English
46,English
47,English
48,English
49,"Español, English, Français, Magyar"
50,
51,English
52,"shqip, Italiano"
53,"English, Deutsch"
54,English
55,English
56,"English, Español"
57,"Italiano, Español"
58,"English, Français"
59,English
60,"English, Français, Español"
61,English
62,"English, Español"
63,English
64,"English, Pусский"
65,"English, Magyar"
66,English
67,"Français, Español"
68,English
69,"English, Español"
70,"English, Español"
71,English
72,Français
73,English
74,English
75,English
76,"Deutsch, English"
77,English
78,English
79,فارسی
80,English
81,Nederlands
82,English
83,
84,English
85,"Dansk, English, Français, Deutsch"
86,"English, Français, Pусский"
87,English
88,English
89,English
90,English
91,English
92,English
93,English
94,English
95,Français
96,English
97,English
98,English
99,"Español, English"
100,English
101,English
102,English
103,English
104,Deutsch
105,English
106,English
107,
108,"English, Français, Latin"
109,"English, Español"
110,English
111,"English, Français, Deutsch"
112,English
113,Français
114,English
115,English
116,English
117,English
118,English
119,English
120,"Français, English"
121,"English, 日本語, 普通话"
122,Italiano
123,English
124,English
125,"العربية, Français"
126,
127,English
128,English
129,English
130,English
131,Español
132,English
133,English
134,English
135,English
136,English
137,
138,Français
139,"English, Français"
140,"English, Hrvatski, Bosanski"
141,English
142,English
143,Deutsch
144,English
145,English
146,English
147,English
148,English
149,English
150,English
151,"Français, Español"
152,English
153,English
154,English
155,English
156,English
157,"English, Français"
158,English
159,English
160,English
161,English
162,"English, Deutsch, Română"
163,English
164,English
165,"English, Français"
166,"English, Bahasa indonesia, Bahasa melayu"
167,"English, Italiano, 日本語, Pусский"
168,"English, Français"
169,"English, 日本語"
170,English
171,English
172,English
173,English
174,English
175,English
176,English
177,English
178,English
179,English
180,"Pусский, English"
181,"Deutsch, English"
182,"English, Español"
183,"English, Pусский"
184,English
185,English
186,English
187,English
188,English
189,
190,English
191,English
192,English
193,English
194,"Magyar, English"
195,English
196,Français
197,English
198,English
199,English
200,"English, Español"
201,English
202,English
203,English
204,English
205,"English, Deutsch, Español"
206,English
207,English
208,English
209,"English, Deutsch"
210,Pусский
211,"shqip, English"
212,"English, Deutsch, Français"
213,"Français, Español, English"
214,English
215,English
216,English
217,"English, Italiano, svenska"
218,English
219,English
220,English
221,English
222,English
223,English
224,English
225,English
226,English
227,English
228,普通话
229,English
230,English
231,English
232,"Français, English"
233,English
234,English
235,English
236,English
237,English
238,Français
239,English
240,English
241,English
242,English
243,English
244,"English, Pусский"
245,English
246,English
247,"English, Français, Deutsch"
248,"English, Deutsch"
249,"English, Français"
250,English
251,English
252,English
253,English
254,English
255,English
256,English
257,"English, Deutsch, Français"
258,"English, Français"
259,English
260,Français
261,"English, Español"
262,English
263,English
264,English
265,"English, Español"
266,English
267,English
268,English
269,English
270,English
271,English
272,English
273,English
274,English
275,"English, Español"
276,English
277,"Český, English, Magyar"
278,English
279,English
280,English
281,English
282,English
283,English
284,"English, 日本語"
285,English
286,English
287,English
288,"English, Français"
289,English
290,English
291,English
292,"English, Español, Français"
293,English
294,"English, 普通话"
295,English
296,English
297,"English, 日本語"
298,"Français, Italiano"
299,English
300,English
301,"Français, Italiano, Pусский, Español, English"
302,Français
303,"Français, Polski"
304,"Français, Magyar, Polski"
305,普通话
306,English
307,English
308,English
309,English
310,"English, Gaeilge"
311,English
312,"English, Norsk, svenska"
313,English
314,English
315,English
316,English
317,Español
318,English
319,English
320,"English, Deutsch"
321,普通话
322,English
323,English
324,English
325,English
326,English
327,English
328,English
329,English
330,English
331,English
332,English
333,English
334,English
335,English
336,English
337,English
338,English
339,English
340,English
341,"English, Français, Deutsch, Pусский"
342,"Français, English"
343,English
344,English
345,English
