,title,release_year,runtime
0,Toy Story,1995,81.0
1,Jumanji,1995,104.0
2,Grumpier Old Men,1995,101.0
3,Waiting to Exhale,1995,127.0
4,Father of the Bride Part II,1995,106.0
5,Heat,1995,170.0
6,Sabrina,1995,127.0
7,Tom and Huck,1995,97.0
8,Sudden Death,1995,106.0
9,GoldenEye,1995,130.0
10,The American President,1995,106.0
11,Dracula: Dead and Loving It,1995,88.0
12,Balto,1995,78.0
13,Nixon,1995,192.0
14,Cutthroat Island,1995,119.0
15,Casino,1995,178.0
16,Sense and Sensibility,1995,136.0
17,Four Rooms,1995,98.0
18,Ace Ventura: When Nature Calls,1995,90.0
19,Money Train,1995,103.0
20,Get Shorty,1995,105.0
21,Copycat,1995,124.0
22,Assassins,1995,132.0
23,Powder,1995,111.0
24,Leaving Las Vegas,1995,112.0
25,Othello,1995,123.0
26,Now and Then,1995,100.0
27,Persuasion,1995,104.0
28,The City of Lost Children,1995,108.0
29,Shanghai Triad,1995,108.0
30,Dangerous Minds,1995,99.0
31,Twelve Monkeys,1995,129.0
32,Wings of Courage,1996,50.0
33,Babe,1995,89.0
34,Carrington,1995,121.0
35,Dead Man Walking,1995,122.0
36,Across the Sea of Time,1995,51.0
37,It Takes Two,1995,101.0
38,Clueless,1995,97.0
39,"Cry, the Beloved Country",1995,106.0
40,Richard III,1995,104.0
41,Dead Presidents,1995,119.0
42,Restoration,1995,117.0
43,Mortal Kombat,1995,101.0
44,To Die For,1995,106.0
45,How To Make An American Quilt,1995,116.0
46,Se7en,1995,127.0
47,Pocahontas,1995,81.0
48,When Night Is Falling,1995,96.0
49,The Usual Suspects,1995,106.0
50,Guardian Angel,1994,93.0
51,Mighty Aphrodite,1995,95.0
52,Lamerica,1994,116.0
53,The Big Green,1995,100.0
54,Georgia,1995,115.0
55,Kids of the Round Table,1997,89.0
56,Home for the Holidays,1995,103.0
57,The Postman,1994,108.0
58,The Confessional,1995,100.0
59,The Indian in the Cupboard,1995,96.0
60,Eye for an Eye,1996,101.0
61,Mr. Holland's Opus,1995,137.0
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89.0
63,Two If by Sea,1996,96.0
64,Bio-Dome,1996,88.0
65,Lawnmower Man 2: Beyond Cyberspace,1996,92.0
66,Two Bits,1995,85.0
67,French Twist,1995,95.0
68,Friday,1995,91.0
69,From Dusk Till Dawn,1996,108.0
70,Fair Game,1995,91.0
71,Kicking and Screaming,1995,96.0
72,Les Miserables,1995,175.0
73,Bed of Roses,1996,87.0
74,Big Bully,1996,90.0
75,Screamers,1995,108.0
76,Nico Icon,1995,70.0
77,The Crossing Guard,1995,111.0
78,The Juror,1996,118.0
79,The White Balloon,1995,85.0
80,Things to Do in Denver When You're Dead,1995,116.0
81,Antonia's Line,1995,102.0
82,Once Upon a Time... When We Were Colored,1996,115.0
83,Last Summer in the Hamptons,1995,108.0
84,Angels and Insects,1995,118.0
85,White Squall,1996,129.0
86,Dunston Checks In,1996,88.0
87,Black Sheep,1996,87.0
88,Nick of Time,1995,90.0
89,The Journey of August King,1995,91.0
90,Mary Reilly,1996,104.0
91,Vampire in Brooklyn,1995,100.0
92,Beautiful Girls,1996,112.0
93,Broken Arrow,1996,108.0
94,A Midwinter's Tale,1995,99.0
95,La Haine,1995,98.0
96,Shopping,1994,105.0
97,Heidi Fleiss: Hollywood Madam,1995,106.0
98,City Hall,1996,111.0
99,Bottle Rocket,1996,91.0
100,Mr. Wrong,1996,96.0
101,Unforgettable,1996,106.0
102,Happy Gilmore,1996,92.0
103,The Bridges of Madison County,1995,135.0
104,Nobody Loves Me,1994,104.0
105,Muppet Treasure Island,1996,100.0
106,Catwalk,1995,95.0
107,Headless Body in Topless Bar,1995,110.0
108,Braveheart,1995,177.0
109,Taxi Driver,1976,114.0
110,Rumble in the Bronx,1995,91.0
111,Before and After,1996,108.0
112,Margaret's Museum,1995,114.0
113,Happiness Is in the Field,1995,106.0
114,Anne Frank Remembered,1995,117.0
115,The Young Poisoner's Handbook,1995,99.0
116,If Lucy Fell,1996,92.0
117,Steal Big Steal Little,1995,113.0
118,Race the Sun,1996,100.0
119,The Boys of St. Vincent,1992,90.0
120,Boomerang,1992,117.0
121,Chungking Express,1994,102.0
122,The Star Maker,1995,113.0
123,Flirting with Disaster,1996,92.0
124,The Neverending Story III: Escape from Fantasia,1994,95.0
125,The Silences of the Palace,1994,116.0
126,Jupiter's Wife,1995,87.0
127,Pie in the Sky,1996,95.0
128,Angela,1995,99.0
129,Frankie Starlight,1995,101.0
130,Jade,1995,95.0
131,Nueba Yol,1995,102.0
132,Sonic Outlaws,1995,87.0
133,Down Periscope,1996,92.0
134,From the Journals of Jean Seberg,1995,97.0
135,Man of the Year,1995,86.0
136,The Neon Bible,1995,91.0
137,Target,1995,122.0
138,Up Close & Personal,1996,119.0
139,The Birdcage,1996,117.0
140,Virgin Mary,1995,125.0
141,The Brothers McMullen,1995,98.0
142,Bad Boys,1995,118.0
143,The Amazing Panda Adventure,1995,81.0
144,The Basketball Diaries,1995,102.0
145,An Awfully Big Adventure,1995,113.0
146,Amateur,1994,105.0
147,Apollo 13,1995,140.0
148,Rob Roy,1995,139.0
149,The Addiction,1995,82.0
150,Batman Forever,1995,121.0
151,Belle de Jour,1967,101.0
152,Beyond Rangoon,1995,100.0
153,Blue in the Face,1995,83.0
154,Canadian Bacon,1995,91.0
155,Casper,1995,100.0
156,Clockers,1995,128.0
157,Congo,1995,109.0
158,Crimson Tide,1995,116.0
159,Crumb,1994,119.0
160,Desperado,1995,104.0
161,Devil in a Blue Dress,1995,102.0
162,Die Hard: With a Vengeance,1995,128.0
163,The Doom Generation,1995,80.0
164,Feast of July,1995,116.0
165,First Knight,1995,134.0
166,Free Willy 2 - The Adventure Home,1995,95.0
167,Hackers,1995,107.0
168,Jeffrey,1995,92.0
169,Johnny Mnemonic,1995,97.0
170,Judge Dredd,1995,96.0
171,Jury Duty,1995,88.0
172,Kids,1995,91.0
173,Living in Oblivion,1995,89.0
174,Lord of Illusions,1995,119.0
175,Love & Human Remains,1993,100.0
176,Mad Love,1995,95.0
177,Mallrats,1995,94.0
178,Mighty Morphin Power Rangers: The Movie,1995,92.0
179,Moonlight and Valentino,1995,100.0
180,Mute Witness,1995,95.0
181,Nadja,1994,93.0
182,The Net,1995,114.0
183,Nine Months,1995,103.0
184,Party Girl,1995,94.0
185,The Prophecy,1995,98.0
186,Reckless,1995,91.0
187,Safe,1995,119.0
188,The Scarlet Letter,1995,135.0
189,The Show,1995,93.0
190,Showgirls,1995,128.0
191,Smoke,1995,112.0
192,Something to Talk About,1995,106.0
193,Species,1995,108.0
194,The Stars Fell on Henrietta,1995,109.0
195,Strange Days,1995,145.0
196,The Umbrellas of Cherbourg,1964,91.0
197,The Tie That Binds,1995,99.0
198,Three Wishes,1995,115.0
199,Total Eclipse,1995,111.0
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,105.0
201,Under Siege 2: Dark Territory,1995,100.0
202,Unstrung Heroes,1995,93.0
203,Unzipped,1995,73.0
204,A Walk in the Clouds,1995,103.0
205,Waterworld,1995,135.0
206,White Man's Burden,1995,89.0
207,Wild Bill,1995,98.0
208,The Browning Version,1994,97.0
209,Bushwhacked,1995,90.0
210,Burnt by the Sun,1994,135.0
211,Before the Rain,1994,113.0
212,Before Sunrise,1995,105.0
213,Billy Madison,1995,89.0
214,The Babysitter,1995,90.0
215,Boys on the Side,1995,115.0
216,The Cure,1995,97.0
217,Castle Freak,1995,95.0
218,Circle of Friends,1995,103.0
219,Clerks,1994,92.0
220,Don Juan DeMarco,1994,97.0
221,Disclosure,1994,123.0
222,Dream Man,1995,0.0
223,Drop Zone,1994,101.0
224,Destiny Turns on the Radio,1995,0.0
225,Death and the Maiden,1994,103.0
226,Dolores Claiborne,1995,132.0
227,Dumb and Dumber,1994,107.0
228,Eat Drink Man Woman,1994,123.0
229,Exotica,1994,103.0
230,Exit to Eden,1994,113.0
231,Ed Wood,1994,127.0
232,French Kiss,1995,111.0
233,Forget Paris,1995,101.0
234,Far from Home: The Adventures of Yellow Dog,1995,87.0
235,A Goofy Movie,1995,78.0
236,Hideaway,1995,103.0
237,Fluke,1995,96.0
238,Farinelli,1994,111.0
239,Gordy,1995,90.0
240,Gumby: The Movie,1995,77.0
